name,gender,start year,end year
Alcide De Gasperi,Male,1945,1953
Giuseppe Pella,Male,1953,1954
Amintore Fanfani,Male,1954,1959
Antonio Segni,Male,1959,1960
Fernando Tambroni,Male,1960,1960
Amintore Fanfani,Male,1960,1963
Giovanni Leone,Male,1963,1963
Aldo Moro,Male,1963,1968
Giovanni Leone,Male,1968,1968
Mariano Rumor,Male,1968,1974
Aldo Moro,Male,1974,1976
Giulio Andreotti,Male,1976,1979
Francesco Cossiga,Male,1979,1980
Arnaldo Forlani,Male,1980,1981
Giovanni Spadolini,Male,1981,1982
Amintore Fanfani,Male,1982,1983
Bettino Craxi,Male,1983,1987
Amintore Fanfani,Male,1987,1987
Ciriaco De Mita,Male,1988,1989
Giulio Andreotti,Male,1989,1992
Giuliano Amato,Male,1992,1993
Carlo Azeglio Ciampi,Male,1993,1994
Silvio Berlusconi,Male,1994,1995
Lamberto Dini,Male,1995,1996
Romano Prodi,Male,1996,1998
Massimo D'Alema,Male,1998,2000
Giuliano Amato,Male,2000,2001
Silvio Berlusconi,Male,2001,2006
Romano Prodi,Male,2006,2008
Silvio Berlusconi,Male,2008,2011
Mario Monti,Male,2011,2013
Enrico Letta,Male,2013,2014
Matteo Renzi,Male,2014,2016
Paolo Gentiloni,Male,2016,2018
Giuseppe Conte,Male,2018,2021
Mario Draghi,Male,2021,2022